Solution 1:
Total Switches: 835
Boundary Edges (580):
  dir_matches_p:991 -> has_wildcards_p:1117, Weight: 0, Domains: 0 -> 1
  unique_name:693 -> unique_name:698, Weight: 2, Domains: 1 -> 0
  unique_name:693 -> file_exists_p:596, Weight: 2, Domains: 1 -> 0
  saved_append_1:176 -> free_log_line:158, Weight: 10, Domains: 0 -> 1
  saved_append_1:176 -> strdupdelim:242, Weight: 0, Domains: 0 -> 1
  url_string:2160 -> url_string:2162, Weight: 4, Domains: 1 -> 0
  initialize_request:1849 -> logputs:352, Weight: 0, Domains: 1 -> 0
  initialize_request:1849 -> time_to_rfc1123:1791, Weight: 0, Domains: 1 -> 0
  initialize_request:1849 -> request_set_header:231, Weight: 0, Domains: 1 -> 0
  convert_all_links:192 -> ptimer_new:316, Weight: 0, Domains: 0 -> 1
  gethttp:3449 -> resp_header_strdup:752, Weight: 2, Domains: 1 -> 0
  get_urls_file:877 -> inform_exit_status:76, Weight: 0, Domains: 0 -> 1
  get_urls_file:877 -> strdupdelim:242, Weight: 0, Domains: 0 -> 1
  cookie_header:1035 -> cookie_header:1038, Weight: 2, Domains: 1 -> 0
  convert_all_links:198 -> print_decimal:2445, Weight: 0, Domains: 0 -> 1
  convert_all_links:201 -> ptimer_destroy:335, Weight: 0, Domains: 0 -> 1
  gethttp:3466 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:2958 -> gethttp:2959, Weight: 2, Domains: 1 -> 0
  convert_fname:1545 -> convert_fname:1546, Weight: 2, Domains: 1 -> 0
  resp_header_locate:686 -> resp_header_locate:704, Weight: 18, Domains: 1 -> 0
  fd_read_body:278 -> limit_bandwidth_reset:84, Weight: 0, Domains: 1 -> 0
  downloaded_file:1098 -> downloaded_file:1100, Weight: 1, Domains: 1 -> 0
  search_netrc:110 -> search_netrc:113, Weight: 2, Domains: 1 -> 0
  cookie_jar_load:1197 -> strdupdelim:242, Weight: 0, Domains: 0 -> 1
  url_file_name:1718 -> concat_strings:397, Weight: 0, Domains: 1 -> 0
  print_broken_links:79 -> hash_table_count:587, Weight: 0, Domains: 0 -> 1
  gethttp:2960 -> gethttp:2961, Weight: 2, Domains: 0 -> 1
